iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
NFK,Lord Howe and Norfolk Islands,158693.36119893534,13353.592666625977,177763.20122088704,135292.48766112016,10581.905233647289,153603.56048179322,0.11001572669805751,NA,0.12864167594361842,3010.327590449215,-5782.015023427903,238.6401574705269,238.6401574705269,Sellers
AUS,Lord Howe and Norfolk Islands,151353.96099934456,14262.867418299165,146248.73919414738,151353.9609993446,14390.026434565616,169767.3114174159,0.1442912825814246,NA,0.12864167594361842,3.743965526333149e-12,127.1590162664469,127.15901626645427,127.1590162664469,Buyers
SLE,Gulf of Guinea,92355.77490901387,33734.06255340576,103966.22359646061,73709.24333044197,5888.6603796725885,85636.46484038512,0.12137793992541991,NA,9.552862059811298,178127.74406401278,-205973.14623774594,150282.3418902796,150282.3418902796,Sellers
IDN,Tropical Northwestern Pacific,7372.6955517435035,15661.887252807617,9220.31583098095,7527.19081877326,16644.43341062733,12292.66839472909,6.3597168813622895,NA,6.255583895412507,966.4581043487976,16.088053470916066,1949.0042621685116,16.088053470916066,Buyers
SOM,Red Sea and Gulf of Aden,76147.94823194185,752491.6042022705,96340.29105456872,54713.80503299813,75334.6060379126,72252.90036292232,9.509609057617713,NA,96.33562887306638,2064871.664425602,-2742028.66258996,1387714.666261244,1387714.666261244,Sellers
SOM,Western Indian Ocean,139289.26640969375,23019.494522094727,150767.2878668276,95620.1470500898,8118.835901593348,104614.51151466297,0.11616718969797575,NA,4.2067788246476034,183706.3266129906,-198606.98523349199,168805.66799248924,168805.66799248924,Sellers
AUS,Subantarctic Islands,2924.6598198135953,164.99633026123047,3624.61812550238,7243.483973590662,3101.48563808517,9308.33580919701,1.6456330783201396,NA,0.11766651315353359,508.18097909820773,2428.308328725732,3444.6702869221476,2428.308328725732,Buyers
CXR,Java Transitional,149507.80777478754,-450361.0362000527,235050.61397710154,149507.80777478756,23999.059026262315,168811.96281366728,0.22338642902689973,NA,11.518763350545889,3.352401356255254e-10,474360.0952263147,474360.0952263154,474360.0952263147,Buyers
RUS,Cold Temperate Northwest Pacific,1134115.6259030993,31313677.898581054,1471678.2375523385,1134115.6259030995,35368478.12743226,1392337.238375841,199.05343265061023,NA,314.8867662539067,7.33152884649827e-8,4054800.2288511298,4054800.2288512774,4054800.2288511298,Buyers
CCK,Java Transitional,384865.6601060648,389809.66439819336,436256.60704351135,201854.90593846375,28652.251335620895,231672.4285782961,0.18463788820873367,NA,11.518763350545889,2108057.5678615263,-2469214.9809240988,1746900.1547989538,1746900.1547989538,Sellers
