iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
SLE,694,Gulf of Guinea West,25081,Gulf of Guinea,17,Tropical Atlantic,4
CAN,124,Gulf of Maine/Bay of Fundy,25040,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
USA,840,Gulf of Maine/Bay of Fundy,25040,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
ARE,784,Gulf of Oman,20091,Somali/Arabian,19,Western Indo-Pacific,5
IRN,364,Gulf of Oman,20091,Somali/Arabian,19,Western Indo-Pacific,5
OMN,512,Gulf of Oman,20091,Somali/Arabian,19,Western Indo-Pacific,5
PAK,586,Gulf of Oman,20091,Somali/Arabian,19,Western Indo-Pacific,5
AUS,36,Gulf of Papua,20138,Sahul Shelf,32,Central Indo-Pacific,6
PNG,598,Gulf of Papua,20138,Sahul Shelf,32,Central Indo-Pacific,6
CAN,124,Gulf of St. Lawrence - Eastern Scotian Shelf,20037,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
SPM,666,Gulf of St. Lawrence - Eastern Scotian Shelf,20037,Cold Temperate Northwest Atlantic,5,Temperate Northern Atlantic,2
KHM,116,Gulf of Thailand,20115,Sunda Shelf,26,Central Indo-Pacific,6
MYS,458,Gulf of Thailand,20115,Sunda Shelf,26,Central Indo-Pacific,6
THA,764,Gulf of Thailand,20115,Sunda Shelf,26,Central Indo-Pacific,6
VNM,704,Gulf of Thailand,20115,Sunda Shelf,26,Central Indo-Pacific,6
CHN,156,Gulf of Tonkin,20112,South China Sea,25,Central Indo-Pacific,6
VNM,704,Gulf of Tonkin,20112,South China Sea,25,Central Indo-Pacific,6
IDN,360,Halmahera,20129,Western Coral Triangle,30,Central Indo-Pacific,6
PLW,585,Halmahera,20129,Western Coral Triangle,30,Central Indo-Pacific,6
UMI,581,Hawaii,25152,Hawaii,37,Eastern Indo-Pacific,7
USA,840,Hawaii,25152,Hawaii,37,Eastern Indo-Pacific,7
ATF,260,Heard and Macdonald Islands,20213,Subantarctic Islands,59,Southern Ocean,12
HMD,334,Heard and Macdonald Islands,20213,Subantarctic Islands,59,Southern Ocean,12
CAN,124,High Arctic Archipelago,25010,Arctic,1,Arctic,1
GRL,304,High Arctic Archipelago,25010,Arctic,1,Arctic,1
AUS,36,Houtman,20211,West Central Australian Shelf,58,Temperate Australasia,11
CAN,124,Hudson Complex,20008,Arctic,1,Arctic,1
CHL,152,Humboldtian,20176,Warm Temperate Southeastern Pacific,45,Temperate South America,9
PER,604,Humboldtian,20176,Warm Temperate Southeastern Pacific,45,Temperate South America,9
ALB,8,Ionian Sea,25034,Mediterranean Sea,4,Temperate Northern Atlantic,2
GRC,300,Ionian Sea,25034,Mediterranean Sea,4,Temperate Northern Atlantic,2
ITA,380,Ionian Sea,25034,Mediterranean Sea,4,Temperate Northern Atlantic,2
LBY,434,Ionian Sea,25034,Mediterranean Sea,4,Temperate Northern Atlantic,2
MLT,470,Ionian Sea,25034,Mediterranean Sea,4,Temperate Northern Atlantic,2
TUN,788,Ionian Sea,25034,Mediterranean Sea,4,Temperate Northern Atlantic,2
CHL,152,Juan Fernandez and Desventuradas,20179,Juan Fernandez and Desventuradas,46,Temperate South America,9
RUS,643,Kamchatka Shelf and Coast,25046,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
USA,840,Kamchatka Shelf and Coast,25046,Cold Temperate Northwest Pacific,8,Temperate Northern Pacific,3
RUS,643,Kara Sea,20017,Arctic,1,Arctic,1
ATF,260,Kerguelen Islands,20214,Subantarctic Islands,59,Southern Ocean,12
HMD,334,Kerguelen Islands,20214,Subantarctic Islands,59,Southern Ocean,12
NZL,554,Kermadec Island,25195,Northern New Zealand,53,Temperate Australasia,11
CAN,124,Lancaster Sound,25009,Arctic,1,Arctic,1
RUS,643,Laptev Sea,20016,Arctic,1,Arctic,1
AUS,36,Leeuwin,20209,Southwest Australian Shelf,57,Temperate Australasia,11
